tzWord,esWord,url,status
Ajuleew,Animales terrestres,https://v2.dictionary.tzutujil.org/words/67bca0dda53da53fac2561a5,Created
Kojaxel chikop,Animales útiles al hombre,https://v2.dictionary.tzutujil.org/words/67bca0dda53da53fac2561a6,Created
B'aqilaj chikop,Animales vertebrados,https://v2.dictionary.tzutujil.org/words/67bca0dda53da53fac2561a7,Created
Ajxik'aa',Animales voladores,https://v2.dictionary.tzutujil.org/words/67bca0dea53da53fac2561a8,Created
chikopii',Animles,https://v2.dictionary.tzutujil.org/words/67b8a89bb239fd045521d9e5,Merged
Tz'umanelaa',Anmales mamíferos,https://v2.dictionary.tzutujil.org/words/67bca0dea53da53fac2561a9,Created
Mayamajy,Año de 400 día,https://v2.dictionary.tzutujil.org/words/67bca0dea53da53fac2561aa,Created
Choloq'iij,Año sagrado,https://v2.dictionary.tzutujil.org/words/67bca0dea53da53fac2561ab,Created
K'awax,Anona,https://v2.dictionary.tzutujil.org/words/67bca0dea53da53fac2561ac,Created
Q'anak'awax,Anona amarilla,https://v2.dictionary.tzutujil.org/words/67bca0dea53da53fac2561ad,Created
K'aqak'awax,Anona rosada,https://v2.dictionary.tzutujil.org/words/67bca0dea53da53fac2561ae,Created
Najb'eyaal,Antecesor,https://v2.dictionary.tzutujil.org/words/66724fb85a8ee2d55bcbbed6,Merged
Tasawach,Anteojos,https://v2.dictionary.tzutujil.org/words/67bca0dea53da53fac2561af,Created
Najb'eyaal,Anterior,https://v2.dictionary.tzutujil.org/words/66724fb85a8ee2d55bcbbed6,Merged
Pan Q'an,Antigua,https://v2.dictionary.tzutujil.org/words/67bca0dea53da53fac2561b0,Created
B'anayoon/b'anoyinaq,Antipasiva,https://v2.dictionary.tzutujil.org/words/67bca0dea53da53fac2561b1,Created
Ch'a'on Tziij,Antónimos,https://v2.dictionary.tzutujil.org/words/67bca0dea53da53fac2561b2,Created
Retamab'aliil winaqileem,Antropología,https://v2.dictionary.tzutujil.org/words/67bca0dea53da53fac2561b3,Created
Kik'ib'al,Aparato Circulatorio,https://v2.dictionary.tzutujil.org/words/67bca0dea53da53fac2561b4,Created
